doc_id,satz,werden,partizip
kafka_bauer_113_1,"Es wird schon gebaut, aber auf einem Teil des Geländes wohnen noch Zigeuner.",wird,gebaut
kafka_bauer_149_1,"Ach Liebste, unendlich Geliebte, für meine kleine Geschichte ist nun wirklich schon zu spät, so wie ich es mit Furcht geahnt habe, unvollendet wird sie bis morgen nacht zum Himmel starren, für Dich aber, Felice, kindische Dame, ist gerade jetzt und immer gerade jetzt die einzig richtige Zeit.",wird,unvollendet
kafka_bauer_149_1,"Als Kind - vor paar Jahren war ich es noch - träumte ich gern davon, in einem großen mit Menschen angefüllten Saal - allerdings ausgestattet mit einer etwas größern Herz-, Stimm- und Geisteskraft als ich sie augenblicklich hatte - die ganze ""Éducation sentimentale"" ohne Unterbrechung so viel Tage und Nächte lang, als sich für notwendig ergeben würde, natürlich französisch (o du meine liebe Aussprache!) vorzulesen und die Wände sollten widerhallen.",würde,ergeben
kafka_bauer_149_1,"Um nichts Auffälliges, aber doch unbedingt etwas von Dir bei der Hand zu haben, hatte ich mir Deine Festansichtskarte mitgenommen und hatte mir vorgenommen, während des Vorlesens die Hand ruhig auf ihr liegen zu lassen und auf diese Weise mittels einfachster Zauberei von Dir gehalten zu werden.",werden,gehalten
kafka_bauer_27_1,In den nächsten Tagen wirst Du von 2 Seiten scheinbar auf meine Anregung hin wegen Möbelkaufes angegangen werden.,werden,angegangen
kafka_bauer_87_1,"Wie wäre es denn möglich, dass zwei zweifellos richtig adressierte, übrigens auch mit Absenderadresse versehene Briefe am gleichen Tage, trotzdem sie in verschiedenen Postsäcken befördert werden mußten, verlorengehen konnten?",werden,befördert
kafka_bauer_94_1,"Aber ganz abgesehen davon, trotzdem davon nicht abgesehen werden kann, wie können denn Leute, und seien es Mutter und Vater, in dem beschriebenen Herbst- und Winterleben zu uns kommen, ohne dass sie :eich und, wenn sie mit mir fühlt, meine Frau unerträglich stören?",werden,abgesehen
kafka_bauer_94_1,So geht es auf und ab und man muß davon zerrissen werden.,werden,zerrissen
kafka_bauer_94_1,"Das einzige, was durch Deinen Brief vielleicht endgiltig ausgeschieden wird, sind die Bedenken wegen des unzureichenden Geldes.",wird,ausgeschieden
kafka_bauer_118_1,"Ich wäre vielleicht gar nicht darauf so aufmerksam gemacht worden, dass ich ein solcher Fremder unter Blumen bin, wenn ich nicht gegen das Ende des Gymnasiums und während der Universitätszeit einen guten Freund gehabt hätte (er hat mit dem Vornamen Ewald geheißen, fast ein Blumenname, nicht?), der, ohne besonders für zartere Eindrücke empfänglich zu sein, ja sogar ohne musikalisches Gefühl zu haben, eine solche Liebe zu Blumen besaß, dass sie ihn, wenn er z.B. gerade Blumen ansah, abschnitt (er hatte einen schönen Garten), begoß, in eine Vase steckte, in der Hand trug oder mir schenkte (was soll ich mit ihnen anfangen, fragte ich mich oft und wollte es doch nicht bis zur äußersten Eindeutigkeit sagen, im allgemeinen sagte ich es natürlich oft, er war ja darin auch nicht zu täuschen), dass ihn also diese Liebe geradezu verwandelte und er dann anders - ich möchte fast sagen - tönender sprach trotz des kleinen Sprachfehlers, den er hatte.",worden,gemacht
